"scenario" "n" "p" "s0" "SNR" "corDesign" "rho" "pB" "s0B"
520 100 500 10 1 "Pairwise" 0.7 10 1
521 100 500 10 1 "Pairwise" 0.7 10 2
522 100 500 10 1 "Pairwise" 0.7 10 5
523 100 500 10 1 "Pairwise" 0.9 100 2
524 100 500 10 1 "Pairwise" 0.9 100 5
525 100 500 10 1 "Pairwise" 0.9 10 1
526 100 500 10 1 "Pairwise" 0.9 10 2
527 100 500 10 1 "Pairwise" 0.9 10 5
528 100 500 10 1 "Toeplitz" 0.7 100 2
529 100 500 10 2 "Independence" 0 0 0
530 100 500 10 2 "Pairwise" 0.5 100 2
531 100 500 10 2 "Pairwise" 0.5 100 5
532 100 500 10 2 "Pairwise" 0.5 10 1
533 100 500 10 2 "Pairwise" 0.5 10 2
534 100 500 10 2 "Pairwise" 0.5 10 5
535 100 500 10 2 "Pairwise" 0.7 100 2
536 100 500 10 2 "Pairwise" 0.7 100 5
537 100 500 10 2 "Pairwise" 0.7 10 1
538 100 500 10 2 "Pairwise" 0.7 10 2
539 100 500 10 2 "Pairwise" 0.7 10 5
540 100 500 10 2 "Pairwise" 0.9 100 2
541 100 500 10 2 "Pairwise" 0.9 100 5
542 100 500 10 2 "Pairwise" 0.9 10 1
543 100 500 10 2 "Pairwise" 0.9 10 2
544 100 500 10 2 "Pairwise" 0.9 10 5
545 100 500 10 2 "Toeplitz" 0.7 100 2
546 100 500 10 4 "Independence" 0 0 0
547 100 500 10 4 "Pairwise" 0.5 100 2
548 100 500 10 4 "Pairwise" 0.5 100 5
549 100 500 10 4 "Pairwise" 0.5 10 1
550 100 500 10 4 "Pairwise" 0.5 10 2
551 100 500 10 4 "Pairwise" 0.5 10 5
552 100 500 10 4 "Pairwise" 0.7 100 2
553 100 500 10 4 "Pairwise" 0.7 100 5
554 100 500 10 4 "Pairwise" 0.7 10 1
555 100 500 10 4 "Pairwise" 0.7 10 2
556 100 500 10 4 "Pairwise" 0.7 10 5
557 100 500 10 4 "Pairwise" 0.9 100 2
558 100 500 10 4 "Pairwise" 0.9 100 5
559 100 500 10 4 "Pairwise" 0.9 10 1
560 100 500 10 4 "Pairwise" 0.9 10 2
561 100 500 10 4 "Pairwise" 0.9 10 5
562 100 500 10 4 "Toeplitz" 0.7 100 2
563 100 500 20 0.5 "Independence" 0 0 0
564 100 500 20 1 "Independence" 0 0 0
565 100 500 20 1 "Pairwise" 0.5 100 5
566 100 500 20 1 "Pairwise" 0.5 10 1
567 100 500 20 1 "Pairwise" 0.5 10 2
568 100 500 20 1 "Pairwise" 0.5 10 5
569 100 500 20 1 "Pairwise" 0.7 100 5
570 100 500 20 1 "Pairwise" 0.7 10 1
571 100 500 20 1 "Pairwise" 0.7 10 2
572 100 500 20 1 "Pairwise" 0.7 10 5
573 100 500 20 1 "Pairwise" 0.9 100 5
574 100 500 20 1 "Pairwise" 0.9 10 1
575 100 500 20 1 "Pairwise" 0.9 10 2
576 100 500 20 1 "Pairwise" 0.9 10 5
577 100 500 20 2 "Independence" 0 0 0
578 100 500 20 2 "Pairwise" 0.5 100 5
579 100 500 20 2 "Pairwise" 0.5 10 1
580 100 500 20 2 "Pairwise" 0.5 10 2
581 100 500 20 2 "Pairwise" 0.5 10 5
582 100 500 20 2 "Pairwise" 0.7 100 5
583 100 500 20 2 "Pairwise" 0.7 10 1
584 100 500 20 2 "Pairwise" 0.7 10 2
585 100 500 20 2 "Pairwise" 0.7 10 5
586 100 500 20 2 "Pairwise" 0.9 100 5
587 100 500 20 2 "Pairwise" 0.9 10 1
588 100 500 20 2 "Pairwise" 0.9 10 2
589 100 500 20 2 "Pairwise" 0.9 10 5
590 100 500 20 4 "Independence" 0 0 0
591 100 500 20 4 "Pairwise" 0.5 100 5
592 100 500 20 4 "Pairwise" 0.5 10 1
593 100 500 20 4 "Pairwise" 0.5 10 2
594 100 500 20 4 "Pairwise" 0.5 10 5
595 100 500 20 4 "Pairwise" 0.7 100 5
596 100 500 20 4 "Pairwise" 0.7 10 1
597 100 500 20 4 "Pairwise" 0.7 10 2
598 100 500 20 4 "Pairwise" 0.7 10 5
599 100 500 20 4 "Pairwise" 0.9 100 5
600 100 500 20 4 "Pairwise" 0.9 10 1
601 100 500 20 4 "Pairwise" 0.9 10 2
602 100 500 20 4 "Pairwise" 0.9 10 5
603 100 500 40 0.5 "Independence" 0 0 0
604 100 500 40 1 "Independence" 0 0 0
605 100 500 40 1 "Pairwise" 0.5 10 1
606 100 500 40 1 "Pairwise" 0.5 10 2
607 100 500 40 1 "Pairwise" 0.5 10 5
608 100 500 40 1 "Pairwise" 0.7 10 1
609 100 500 40 1 "Pairwise" 0.7 10 2
610 100 500 40 1 "Pairwise" 0.7 10 5
611 100 500 40 1 "Pairwise" 0.9 10 1
612 100 500 40 1 "Pairwise" 0.9 10 2
613 100 500 40 1 "Pairwise" 0.9 10 5
614 100 500 40 2 "Independence" 0 0 0
615 100 500 40 2 "Pairwise" 0.5 10 1
616 100 500 40 2 "Pairwise" 0.5 10 2
617 100 500 40 2 "Pairwise" 0.5 10 5
618 100 500 40 2 "Pairwise" 0.7 10 1
619 100 500 40 2 "Pairwise" 0.7 10 2
620 100 500 40 2 "Pairwise" 0.7 10 5
621 100 500 40 2 "Pairwise" 0.9 10 1
622 100 500 40 2 "Pairwise" 0.9 10 2
623 100 500 40 2 "Pairwise" 0.9 10 5
624 100 500 40 4 "Independence" 0 0 0
625 100 500 40 4 "Pairwise" 0.5 10 1
626 100 500 40 4 "Pairwise" 0.5 10 2
627 100 500 40 4 "Pairwise" 0.5 10 5
628 100 500 40 4 "Pairwise" 0.7 10 1
629 100 500 40 4 "Pairwise" 0.7 10 2
630 100 500 40 4 "Pairwise" 0.7 10 5
631 100 500 40 4 "Pairwise" 0.9 10 1
632 100 500 40 4 "Pairwise" 0.9 10 2
633 100 500 40 4 "Pairwise" 0.9 10 5
634 200 1000 10 0.5 "Independence" 0 0 0
635 200 1000 10 1 "Independence" 0 0 0
636 200 1000 10 1 "Pairwise" 0.5 100 1
637 200 1000 10 1 "Pairwise" 0.5 100 2
638 200 1000 10 1 "Pairwise" 0.5 100 5
639 200 1000 10 1 "Pairwise" 0.5 10 1
640 200 1000 10 1 "Pairwise" 0.5 10 2
641 200 1000 10 1 "Pairwise" 0.5 10 5
642 200 1000 10 1 "Pairwise" 0.7 100 1
643 200 1000 10 1 "Pairwise" 0.7 100 2
644 200 1000 10 1 "Pairwise" 0.7 100 5
645 200 1000 10 1 "Pairwise" 0.7 10 1
646 200 1000 10 1 "Pairwise" 0.7 10 2
647 200 1000 10 1 "Pairwise" 0.7 10 5
648 200 1000 10 1 "Pairwise" 0.9 100 1
649 200 1000 10 1 "Pairwise" 0.9 100 2
650 200 1000 10 1 "Pairwise" 0.9 100 5
651 200 1000 10 1 "Pairwise" 0.9 10 1
652 200 1000 10 1 "Pairwise" 0.9 10 2
653 200 1000 10 1 "Pairwise" 0.9 10 5
654 200 1000 10 1 "Toeplitz" 0.7 100 2
655 200 1000 10 2 "Independence" 0 0 0
656 200 1000 10 2 "Pairwise" 0.5 100 1
657 200 1000 10 2 "Pairwise" 0.5 100 2
658 200 1000 10 2 "Pairwise" 0.5 100 5
659 200 1000 10 2 "Pairwise" 0.5 10 1
660 200 1000 10 2 "Pairwise" 0.5 10 2
661 200 1000 10 2 "Pairwise" 0.5 10 5
662 200 1000 10 2 "Pairwise" 0.7 100 1
663 200 1000 10 2 "Pairwise" 0.7 100 2
664 200 1000 10 2 "Pairwise" 0.7 100 5
665 200 1000 10 2 "Pairwise" 0.7 10 1
666 200 1000 10 2 "Pairwise" 0.7 10 2
667 200 1000 10 2 "Pairwise" 0.7 10 5
668 200 1000 10 2 "Pairwise" 0.9 100 1
669 200 1000 10 2 "Pairwise" 0.9 100 2
670 200 1000 10 2 "Pairwise" 0.9 100 5
671 200 1000 10 2 "Pairwise" 0.9 10 1
672 200 1000 10 2 "Pairwise" 0.9 10 2
673 200 1000 10 2 "Pairwise" 0.9 10 5
674 200 1000 10 2 "Toeplitz" 0.7 100 2
675 200 1000 10 4 "Independence" 0 0 0
676 200 1000 10 4 "Pairwise" 0.5 100 1
677 200 1000 10 4 "Pairwise" 0.5 100 2
678 200 1000 10 4 "Pairwise" 0.5 100 5
679 200 1000 10 4 "Pairwise" 0.5 10 1
680 200 1000 10 4 "Pairwise" 0.5 10 2
681 200 1000 10 4 "Pairwise" 0.5 10 5
682 200 1000 10 4 "Pairwise" 0.7 100 1
683 200 1000 10 4 "Pairwise" 0.7 100 2
684 200 1000 10 4 "Pairwise" 0.7 100 5
685 200 1000 10 4 "Pairwise" 0.7 10 1
686 200 1000 10 4 "Pairwise" 0.7 10 2
687 200 1000 10 4 "Pairwise" 0.7 10 5
688 200 1000 10 4 "Pairwise" 0.9 100 1
689 200 1000 10 4 "Pairwise" 0.9 100 2
690 200 1000 10 4 "Pairwise" 0.9 100 5
691 200 1000 10 4 "Pairwise" 0.9 10 1
692 200 1000 10 4 "Pairwise" 0.9 10 2
693 200 1000 10 4 "Pairwise" 0.9 10 5
694 200 1000 10 4 "Toeplitz" 0.7 100 2
695 200 1000 20 0.5 "Independence" 0 0 0
696 200 1000 20 1 "Independence" 0 0 0
697 200 1000 20 1 "Pairwise" 0.5 100 2
698 200 1000 20 1 "Pairwise" 0.5 100 5
699 200 1000 20 1 "Pairwise" 0.5 10 1
700 200 1000 20 1 "Pairwise" 0.5 10 2
701 200 1000 20 1 "Pairwise" 0.5 10 5
702 200 1000 20 1 "Pairwise" 0.7 100 2
703 200 1000 20 1 "Pairwise" 0.7 100 5
704 200 1000 20 1 "Pairwise" 0.7 10 1
705 200 1000 20 1 "Pairwise" 0.7 10 2
706 200 1000 20 1 "Pairwise" 0.7 10 5
707 200 1000 20 1 "Pairwise" 0.9 100 2
708 200 1000 20 1 "Pairwise" 0.9 100 5
709 200 1000 20 1 "Pairwise" 0.9 10 1
710 200 1000 20 1 "Pairwise" 0.9 10 2
711 200 1000 20 1 "Pairwise" 0.9 10 5
712 200 1000 20 1 "Toeplitz" 0.7 100 2
713 200 1000 20 2 "Independence" 0 0 0
714 200 1000 20 2 "Pairwise" 0.5 100 2
715 200 1000 20 2 "Pairwise" 0.5 100 5
716 200 1000 20 2 "Pairwise" 0.5 10 1
717 200 1000 20 2 "Pairwise" 0.5 10 2
718 200 1000 20 2 "Pairwise" 0.5 10 5
719 200 1000 20 2 "Pairwise" 0.7 100 2
720 200 1000 20 2 "Pairwise" 0.7 100 5
721 200 1000 20 2 "Pairwise" 0.7 10 1
722 200 1000 20 2 "Pairwise" 0.7 10 2
723 200 1000 20 2 "Pairwise" 0.7 10 5
724 200 1000 20 2 "Pairwise" 0.9 100 2
725 200 1000 20 2 "Pairwise" 0.9 100 5
726 200 1000 20 2 "Pairwise" 0.9 10 1
727 200 1000 20 2 "Pairwise" 0.9 10 2
728 200 1000 20 2 "Pairwise" 0.9 10 5
729 200 1000 20 2 "Toeplitz" 0.7 100 2
730 200 1000 20 4 "Independence" 0 0 0
731 200 1000 20 4 "Pairwise" 0.5 100 2
732 200 1000 20 4 "Pairwise" 0.5 100 5
733 200 1000 20 4 "Pairwise" 0.5 10 1
734 200 1000 20 4 "Pairwise" 0.5 10 2
735 200 1000 20 4 "Pairwise" 0.5 10 5
736 200 1000 20 4 "Pairwise" 0.7 100 2
737 200 1000 20 4 "Pairwise" 0.7 100 5
738 200 1000 20 4 "Pairwise" 0.7 10 1
739 200 1000 20 4 "Pairwise" 0.7 10 2
740 200 1000 20 4 "Pairwise" 0.7 10 5
741 200 1000 20 4 "Pairwise" 0.9 100 2
742 200 1000 20 4 "Pairwise" 0.9 100 5
743 200 1000 20 4 "Pairwise" 0.9 10 1
744 200 1000 20 4 "Pairwise" 0.9 10 2
745 200 1000 20 4 "Pairwise" 0.9 10 5
746 200 1000 20 4 "Toeplitz" 0.7 100 2
747 200 1000 40 0.5 "Independence" 0 0 0
748 200 1000 40 1 "Independence" 0 0 0
749 200 1000 40 1 "Pairwise" 0.5 100 5
750 200 1000 40 1 "Pairwise" 0.5 10 1
751 200 1000 40 1 "Pairwise" 0.5 10 2
752 200 1000 40 1 "Pairwise" 0.5 10 5
753 200 1000 40 1 "Pairwise" 0.7 100 5
754 200 1000 40 1 "Pairwise" 0.7 10 1
755 200 1000 40 1 "Pairwise" 0.7 10 2
756 200 1000 40 1 "Pairwise" 0.7 10 5
757 200 1000 40 1 "Pairwise" 0.9 100 5
758 200 1000 40 1 "Pairwise" 0.9 10 1
759 200 1000 40 1 "Pairwise" 0.9 10 2
760 200 1000 40 1 "Pairwise" 0.9 10 5
761 200 1000 40 2 "Independence" 0 0 0
762 200 1000 40 2 "Pairwise" 0.5 100 5
763 200 1000 40 2 "Pairwise" 0.5 10 1
764 200 1000 40 2 "Pairwise" 0.5 10 2
765 200 1000 40 2 "Pairwise" 0.5 10 5
766 200 1000 40 2 "Pairwise" 0.7 100 5
767 200 1000 40 2 "Pairwise" 0.7 10 1
768 200 1000 40 2 "Pairwise" 0.7 10 2
769 200 1000 40 2 "Pairwise" 0.7 10 5
770 200 1000 40 2 "Pairwise" 0.9 100 5
771 200 1000 40 2 "Pairwise" 0.9 10 1
772 200 1000 40 2 "Pairwise" 0.9 10 2
773 200 1000 40 2 "Pairwise" 0.9 10 5
774 200 1000 40 4 "Independence" 0 0 0
775 200 1000 40 4 "Pairwise" 0.5 100 5
776 200 1000 40 4 "Pairwise" 0.5 10 1
777 200 1000 40 4 "Pairwise" 0.5 10 2
778 200 1000 40 4 "Pairwise" 0.5 10 5
779 200 1000 40 4 "Pairwise" 0.7 100 5
780 200 1000 40 4 "Pairwise" 0.7 10 1
781 200 1000 40 4 "Pairwise" 0.7 10 2
782 200 1000 40 4 "Pairwise" 0.7 10 5
783 200 1000 40 4 "Pairwise" 0.9 100 5
784 200 1000 40 4 "Pairwise" 0.9 10 1
785 200 1000 40 4 "Pairwise" 0.9 10 2
786 200 1000 40 4 "Pairwise" 0.9 10 5
787 200 2000 10 0.5 "Independence" 0 0 0
788 200 2000 10 1 "Independence" 0 0 0
789 200 2000 10 1 "Pairwise" 0.5 100 1
790 200 2000 10 1 "Pairwise" 0.5 100 2
791 200 2000 10 1 "Pairwise" 0.5 100 5
792 200 2000 10 1 "Pairwise" 0.5 10 1
793 200 2000 10 1 "Pairwise" 0.5 10 2
794 200 2000 10 1 "Pairwise" 0.5 10 5
795 200 2000 10 1 "Pairwise" 0.7 100 1
796 200 2000 10 1 "Pairwise" 0.7 100 2
797 200 2000 10 1 "Pairwise" 0.7 100 5
798 200 2000 10 1 "Pairwise" 0.7 10 1
799 200 2000 10 1 "Pairwise" 0.7 10 2
800 200 2000 10 1 "Pairwise" 0.7 10 5
801 200 2000 10 1 "Pairwise" 0.9 100 1
802 200 2000 10 1 "Pairwise" 0.9 100 2
803 200 2000 10 1 "Pairwise" 0.9 100 5
804 200 2000 10 1 "Pairwise" 0.9 10 1
805 200 2000 10 1 "Pairwise" 0.9 10 2
806 200 2000 10 1 "Pairwise" 0.9 10 5
807 200 2000 10 1 "Toeplitz" 0.7 100 2
808 200 2000 10 2 "Independence" 0 0 0
809 200 2000 10 2 "Pairwise" 0.5 100 1
810 200 2000 10 2 "Pairwise" 0.5 100 2
811 200 2000 10 2 "Pairwise" 0.5 100 5
812 200 2000 10 2 "Pairwise" 0.5 10 1
813 200 2000 10 2 "Pairwise" 0.5 10 2
814 200 2000 10 2 "Pairwise" 0.5 10 5
815 200 2000 10 2 "Pairwise" 0.7 100 1
816 200 2000 10 2 "Pairwise" 0.7 100 2
817 200 2000 10 2 "Pairwise" 0.7 100 5
818 200 2000 10 2 "Pairwise" 0.7 10 1
819 200 2000 10 2 "Pairwise" 0.7 10 2
820 200 2000 10 2 "Pairwise" 0.7 10 5
821 200 2000 10 2 "Pairwise" 0.9 100 1
822 200 2000 10 2 "Pairwise" 0.9 100 2
823 200 2000 10 2 "Pairwise" 0.9 100 5
824 200 2000 10 2 "Pairwise" 0.9 10 1
825 200 2000 10 2 "Pairwise" 0.9 10 2
826 200 2000 10 2 "Pairwise" 0.9 10 5
827 200 2000 10 2 "Toeplitz" 0.7 100 2
828 200 2000 10 4 "Independence" 0 0 0
829 200 2000 10 4 "Pairwise" 0.5 100 1
830 200 2000 10 4 "Pairwise" 0.5 100 2
831 200 2000 10 4 "Pairwise" 0.5 100 5
832 200 2000 10 4 "Pairwise" 0.5 10 1
833 200 2000 10 4 "Pairwise" 0.5 10 2
834 200 2000 10 4 "Pairwise" 0.5 10 5
835 200 2000 10 4 "Pairwise" 0.7 100 1
836 200 2000 10 4 "Pairwise" 0.7 100 2
837 200 2000 10 4 "Pairwise" 0.7 100 5
838 200 2000 10 4 "Pairwise" 0.7 10 1
839 200 2000 10 4 "Pairwise" 0.7 10 2
840 200 2000 10 4 "Pairwise" 0.7 10 5
841 200 2000 10 4 "Pairwise" 0.9 100 1
842 200 2000 10 4 "Pairwise" 0.9 100 2
843 200 2000 10 4 "Pairwise" 0.9 100 5
844 200 2000 10 4 "Pairwise" 0.9 10 1
845 200 2000 10 4 "Pairwise" 0.9 10 2
846 200 2000 10 4 "Pairwise" 0.9 10 5
847 200 2000 10 4 "Toeplitz" 0.7 100 2
848 200 2000 20 0.5 "Independence" 0 0 0
849 200 2000 20 1 "Independence" 0 0 0
850 200 2000 20 1 "Pairwise" 0.5 100 1
851 200 2000 20 1 "Pairwise" 0.5 100 2
852 200 2000 20 1 "Pairwise" 0.5 100 5
853 200 2000 20 1 "Pairwise" 0.5 10 1
854 200 2000 20 1 "Pairwise" 0.5 10 2
855 200 2000 20 1 "Pairwise" 0.5 10 5
856 200 2000 20 1 "Pairwise" 0.7 100 1
857 200 2000 20 1 "Pairwise" 0.7 100 2
858 200 2000 20 1 "Pairwise" 0.7 100 5
859 200 2000 20 1 "Pairwise" 0.7 10 1
860 200 2000 20 1 "Pairwise" 0.7 10 2
861 200 2000 20 1 "Pairwise" 0.7 10 5
862 200 2000 20 1 "Pairwise" 0.9 100 1
863 200 2000 20 1 "Pairwise" 0.9 100 2
864 200 2000 20 1 "Pairwise" 0.9 100 5
865 200 2000 20 1 "Pairwise" 0.9 10 1
866 200 2000 20 1 "Pairwise" 0.9 10 2
867 200 2000 20 1 "Pairwise" 0.9 10 5
868 200 2000 20 1 "Toeplitz" 0.7 100 2
869 200 2000 20 2 "Independence" 0 0 0
870 200 2000 20 2 "Pairwise" 0.5 100 1
871 200 2000 20 2 "Pairwise" 0.5 100 2
872 200 2000 20 2 "Pairwise" 0.5 100 5
873 200 2000 20 2 "Pairwise" 0.5 10 1
874 200 2000 20 2 "Pairwise" 0.5 10 2
875 200 2000 20 2 "Pairwise" 0.5 10 5
876 200 2000 20 2 "Pairwise" 0.7 100 1
877 200 2000 20 2 "Pairwise" 0.7 100 2
878 200 2000 20 2 "Pairwise" 0.7 100 5
879 200 2000 20 2 "Pairwise" 0.7 10 1
880 200 2000 20 2 "Pairwise" 0.7 10 2
881 200 2000 20 2 "Pairwise" 0.7 10 5
882 200 2000 20 2 "Pairwise" 0.9 100 1
883 200 2000 20 2 "Pairwise" 0.9 100 2
884 200 2000 20 2 "Pairwise" 0.9 100 5
885 200 2000 20 2 "Pairwise" 0.9 10 1
886 200 2000 20 2 "Pairwise" 0.9 10 2
887 200 2000 20 2 "Pairwise" 0.9 10 5
888 200 2000 20 2 "Toeplitz" 0.7 100 2
889 200 2000 20 4 "Independence" 0 0 0
890 200 2000 20 4 "Pairwise" 0.5 100 1
891 200 2000 20 4 "Pairwise" 0.5 100 2
892 200 2000 20 4 "Pairwise" 0.5 100 5
893 200 2000 20 4 "Pairwise" 0.5 10 1
894 200 2000 20 4 "Pairwise" 0.5 10 2
895 200 2000 20 4 "Pairwise" 0.5 10 5
896 200 2000 20 4 "Pairwise" 0.7 100 1
897 200 2000 20 4 "Pairwise" 0.7 100 2
898 200 2000 20 4 "Pairwise" 0.7 100 5
899 200 2000 20 4 "Pairwise" 0.7 10 1
900 200 2000 20 4 "Pairwise" 0.7 10 2
901 200 2000 20 4 "Pairwise" 0.7 10 5
902 200 2000 20 4 "Pairwise" 0.9 100 1
903 200 2000 20 4 "Pairwise" 0.9 100 2
904 200 2000 20 4 "Pairwise" 0.9 100 5
905 200 2000 20 4 "Pairwise" 0.9 10 1
906 200 2000 20 4 "Pairwise" 0.9 10 2
907 200 2000 20 4 "Pairwise" 0.9 10 5
908 200 2000 20 4 "Toeplitz" 0.7 100 2
909 200 2000 40 0.5 "Independence" 0 0 0
910 200 2000 40 1 "Independence" 0 0 0
911 200 2000 40 1 "Pairwise" 0.5 100 2
912 200 2000 40 1 "Pairwise" 0.5 100 5
913 200 2000 40 1 "Pairwise" 0.5 10 1
914 200 2000 40 1 "Pairwise" 0.5 10 2
915 200 2000 40 1 "Pairwise" 0.5 10 5
916 200 2000 40 1 "Pairwise" 0.7 100 2
917 200 2000 40 1 "Pairwise" 0.7 100 5
918 200 2000 40 1 "Pairwise" 0.7 10 1
919 200 2000 40 1 "Pairwise" 0.7 10 2
920 200 2000 40 1 "Pairwise" 0.7 10 5
921 200 2000 40 1 "Pairwise" 0.9 100 2
922 200 2000 40 1 "Pairwise" 0.9 100 5
923 200 2000 40 1 "Pairwise" 0.9 10 1
924 200 2000 40 1 "Pairwise" 0.9 10 2
925 200 2000 40 1 "Pairwise" 0.9 10 5
926 200 2000 40 1 "Toeplitz" 0.7 100 2
927 200 2000 40 2 "Independence" 0 0 0
928 200 2000 40 2 "Pairwise" 0.5 100 2
929 200 2000 40 2 "Pairwise" 0.5 100 5
930 200 2000 40 2 "Pairwise" 0.5 10 1
931 200 2000 40 2 "Pairwise" 0.5 10 2
932 200 2000 40 2 "Pairwise" 0.5 10 5
933 200 2000 40 2 "Pairwise" 0.7 100 2
934 200 2000 40 2 "Pairwise" 0.7 100 5
935 200 2000 40 2 "Pairwise" 0.7 10 1
936 200 2000 40 2 "Pairwise" 0.7 10 2
937 200 2000 40 2 "Pairwise" 0.7 10 5
938 200 2000 40 2 "Pairwise" 0.9 100 2
939 200 2000 40 2 "Pairwise" 0.9 100 5
940 200 2000 40 2 "Pairwise" 0.9 10 1
941 200 2000 40 2 "Pairwise" 0.9 10 2
942 200 2000 40 2 "Pairwise" 0.9 10 5
943 200 2000 40 2 "Toeplitz" 0.7 100 2
944 200 2000 40 4 "Independence" 0 0 0
945 200 2000 40 4 "Pairwise" 0.5 100 2
946 200 2000 40 4 "Pairwise" 0.5 100 5
947 200 2000 40 4 "Pairwise" 0.5 10 1
948 200 2000 40 4 "Pairwise" 0.5 10 2
949 200 2000 40 4 "Pairwise" 0.5 10 5
950 200 2000 40 4 "Pairwise" 0.7 100 2
951 200 2000 40 4 "Pairwise" 0.7 100 5
952 200 2000 40 4 "Pairwise" 0.7 10 1
953 200 2000 40 4 "Pairwise" 0.7 10 2
954 200 2000 40 4 "Pairwise" 0.7 10 5
955 200 2000 40 4 "Pairwise" 0.9 100 2
956 200 2000 40 4 "Pairwise" 0.9 100 5
957 200 2000 40 4 "Pairwise" 0.9 10 1
958 200 2000 40 4 "Pairwise" 0.9 10 2
959 200 2000 40 4 "Pairwise" 0.9 10 5
960 200 2000 40 4 "Toeplitz" 0.7 100 2
961 200 4000 10 0.5 "Independence" 0 0 0
962 200 4000 10 1 "Independence" 0 0 0
963 200 4000 10 1 "Pairwise" 0.5 100 1
964 200 4000 10 1 "Pairwise" 0.5 100 2
965 200 4000 10 1 "Pairwise" 0.5 100 5
966 200 4000 10 1 "Pairwise" 0.5 10 1
967 200 4000 10 1 "Pairwise" 0.5 10 2
968 200 4000 10 1 "Pairwise" 0.5 10 5
969 200 4000 10 1 "Pairwise" 0.7 100 1
970 200 4000 10 1 "Pairwise" 0.7 100 2
971 200 4000 10 1 "Pairwise" 0.7 100 5
972 200 4000 10 1 "Pairwise" 0.7 10 1
973 200 4000 10 1 "Pairwise" 0.7 10 2
974 200 4000 10 1 "Pairwise" 0.7 10 5
975 200 4000 10 1 "Pairwise" 0.9 100 1
976 200 4000 10 1 "Pairwise" 0.9 100 2
977 200 4000 10 1 "Pairwise" 0.9 100 5
978 200 4000 10 1 "Pairwise" 0.9 10 1
979 200 4000 10 1 "Pairwise" 0.9 10 2
980 200 4000 10 1 "Pairwise" 0.9 10 5
981 200 4000 10 1 "Toeplitz" 0.7 100 2
982 200 4000 10 2 "Independence" 0 0 0
983 200 4000 10 2 "Pairwise" 0.5 100 1
984 200 4000 10 2 "Pairwise" 0.5 100 2
985 200 4000 10 2 "Pairwise" 0.5 100 5
986 200 4000 10 2 "Pairwise" 0.5 10 1
987 200 4000 10 2 "Pairwise" 0.5 10 2
988 200 4000 10 2 "Pairwise" 0.5 10 5
989 200 4000 10 2 "Pairwise" 0.7 100 1
990 200 4000 10 2 "Pairwise" 0.7 100 2
991 200 4000 10 2 "Pairwise" 0.7 100 5
992 200 4000 10 2 "Pairwise" 0.7 10 1
993 200 4000 10 2 "Pairwise" 0.7 10 2
994 200 4000 10 2 "Pairwise" 0.7 10 5
995 200 4000 10 2 "Pairwise" 0.9 100 1
996 200 4000 10 2 "Pairwise" 0.9 100 2
997 200 4000 10 2 "Pairwise" 0.9 100 5
998 200 4000 10 2 "Pairwise" 0.9 10 1
999 200 4000 10 2 "Pairwise" 0.9 10 2
1000 200 4000 10 2 "Pairwise" 0.9 10 5
1001 200 4000 10 2 "Toeplitz" 0.7 100 2
1002 200 4000 10 4 "Independence" 0 0 0
1003 200 4000 10 4 "Pairwise" 0.5 100 1
1004 200 4000 10 4 "Pairwise" 0.5 100 2
1005 200 4000 10 4 "Pairwise" 0.5 100 5
1006 200 4000 10 4 "Pairwise" 0.5 10 1
1007 200 4000 10 4 "Pairwise" 0.5 10 2
1008 200 4000 10 4 "Pairwise" 0.5 10 5
1009 200 4000 10 4 "Pairwise" 0.7 100 1
1010 200 4000 10 4 "Pairwise" 0.7 100 2
1011 200 4000 10 4 "Pairwise" 0.7 100 5
1012 200 4000 10 4 "Pairwise" 0.7 10 1
1013 200 4000 10 4 "Pairwise" 0.7 10 2
1014 200 4000 10 4 "Pairwise" 0.7 10 5
1015 200 4000 10 4 "Pairwise" 0.9 100 1
1016 200 4000 10 4 "Pairwise" 0.9 100 2
1017 200 4000 10 4 "Pairwise" 0.9 100 5
1018 200 4000 10 4 "Pairwise" 0.9 10 1
1019 200 4000 10 4 "Pairwise" 0.9 10 2
1020 200 4000 10 4 "Pairwise" 0.9 10 5
1021 200 4000 10 4 "Toeplitz" 0.7 100 2
1022 200 4000 20 0.5 "Independence" 0 0 0
1023 200 4000 20 1 "Independence" 0 0 0
1024 200 4000 20 1 "Pairwise" 0.5 100 1
1025 200 4000 20 1 "Pairwise" 0.5 100 2
1026 200 4000 20 1 "Pairwise" 0.5 100 5
1027 200 4000 20 1 "Pairwise" 0.5 10 1
1028 200 4000 20 1 "Pairwise" 0.5 10 2
1029 200 4000 20 1 "Pairwise" 0.5 10 5
1030 200 4000 20 1 "Pairwise" 0.7 100 1
1031 200 4000 20 1 "Pairwise" 0.7 100 2
1032 200 4000 20 1 "Pairwise" 0.7 100 5
1033 200 4000 20 1 "Pairwise" 0.7 10 1
1034 200 4000 20 1 "Pairwise" 0.7 10 2
1035 200 4000 20 1 "Pairwise" 0.7 10 5
1036 200 4000 20 1 "Pairwise" 0.9 100 1
1037 200 4000 20 1 "Pairwise" 0.9 100 2
1038 200 4000 20 1 "Pairwise" 0.9 100 5
1039 200 4000 20 1 "Pairwise" 0.9 10 1
1040 200 4000 20 1 "Pairwise" 0.9 10 2
1041 200 4000 20 1 "Pairwise" 0.9 10 5
1042 200 4000 20 1 "Toeplitz" 0.7 100 2
1043 200 4000 20 2 "Independence" 0 0 0
